text, audio_url
"He was a tall, slender man, with a long face and iron-gray hair.", https://xilaili.github.io/wavs/0000/audio_032.wav
"As Dwyer survived, Cannon escaped the death sentence, which was commuted to penal servitude for life.", https://xilaili.github.io/wavs/0000/audio_033.wav
"From August nineteen sixty-two", https://xilaili.github.io/wavs/0000/audio_034.wav
"In planning its data processing techniques,", https://xilaili.github.io/wavs/0000/audio_035.wav
"Later in the day each woman found an empty shell on the ground near the house. These two shells were delivered to the police.", https://xilaili.github.io/wavs/0000/audio_036.wav
"the Commission is not able to reach any definite conclusions as to whether or not he was, quote, sane, unquote, under prevailing legal standards.", https://xilaili.github.io/wavs/0000/audio_037.wav
"Zopyrus, when they told him, not thinking that it could be true, went and saw the colt with his own eyes;", https://xilaili.github.io/wavs/0000/audio_038.wav
"provided by other agencies.", https://xilaili.github.io/wavs/0000/audio_039.wav
"and having, quote, somewhat bushy, end quote, hair.", https://xilaili.github.io/wavs/0000/audio_040.wav
"Second, the adequacy of other advance preparations for the security of the President, during his visit to Dallas,", https://xilaili.github.io/wavs/0000/audio_041.wav
"As Mr. Buxton pointed out, many old acts of parliament designed to protect the prisoner were still in full force.", https://xilaili.github.io/wavs/0000/audio_042.wav
"General Supervision of the Secret Service", https://xilaili.github.io/wavs/0000/audio_043.wav
"Again the wretched creature succeeded in obtaining foothold, but this time on the left side of the drop.", https://xilaili.github.io/wavs/0000/audio_044.wav
"They were not obliged to attend chapel, and seldom if ever went; 'prisoners,' said one of them under examination, 'did not like the trouble of going to chapel.'", https://xilaili.github.io/wavs/0000/audio_045.wav
"Although Bureau experiments had shown that twenty-four hours was a likely maximum time, Latona stated", https://xilaili.github.io/wavs/0000/audio_046.wav
"The dissection of executed criminals was abolished soon after the discovery of the crime of burking,", https://xilaili.github.io/wavs/0000/audio_047.wav
"For he cut off his own nose and ears, and then, clipping his hair close and flogging himself with a scourge,", https://xilaili.github.io/wavs/0000/audio_048.wav
"namely, to suppress it and substitute another.", https://xilaili.github.io/wavs/0000/audio_049.wav
"were governed by rules which they themselves had framed, and under which subscriptions were levied", https://xilaili.github.io/wavs/0000/audio_050.wav
"and behaved so as to justify a belief that he had been a jail-bird all his life.", https://xilaili.github.io/wavs/0000/audio_051.wav
"He also studied Dallas bus schedules to prepare for his later use of buses to travel to and from General Walker's house.", https://xilaili.github.io/wavs/0000/audio_052.wav
"The proceeds of the robbery were lodged in a Boston bank,", https://xilaili.github.io/wavs/0000/audio_053.wav
"that anyone ever attacked any street demonstration in which Oswald was involved, except for the Bringuier incident mentioned above,", https://xilaili.github.io/wavs/0000/audio_054.wav
"What do they mean by the words 'packing the Court'?", https://xilaili.github.io/wavs/0000/audio_055.wav
"Wherefore let him that thinketh he standeth take heed lest he fall,' and was full of the most pointed allusions to the culprit.", https://xilaili.github.io/wavs/0000/audio_056.wav
"Agent Quigley did not know of Oswald's prior FBI record when he interviewed him,", https://xilaili.github.io/wavs/0000/audio_057.wav
"Rise, wash face and hands, rinse the mouth out and brush back the hair.", https://xilaili.github.io/wavs/0000/audio_058.wav
"The portion of the palm which was identified was the heel of the right palm, i.e., the area near the wrist, on the little finger side.", https://xilaili.github.io/wavs/0000/audio_059.wav
"The route chosen from the airport to Main Street was the normal one, except where Harwood Street was selected as the means of access to Main Street", https://xilaili.github.io/wavs/0000/audio_060.wav
"in one, for seven years -- that of a man sentenced to death, for whom great interest had been made, but whom it was not thought right to pardon.", https://xilaili.github.io/wavs/0000/audio_061.wav
"They were never left quite alone for fear of suicide, and for the same reason they were searched for weapons or poisons.", https://xilaili.github.io/wavs/0000/audio_062.wav
"Marwood was proud of his calling, and when questioned as to whether his process was satisfactory, replied that he heard 'no complaints.'", https://xilaili.github.io/wavs/0000/audio_063.wav
"His body was found lying in a pool of blood in a night-dress, stabbed over and over again in the left side.", https://xilaili.github.io/wavs/0000/audio_064.wav
"Doubts were long entertained whether Thomas Wainwright,", https://xilaili.github.io/wavs/0000/audio_065.wav
"The Commission has concluded that at the time of the assassination", https://xilaili.github.io/wavs/0000/audio_066.wav
"It was not likely that a system which left innocent men -- for the great bulk of new arrivals were still untried", https://xilaili.github.io/wavs/0000/audio_067.wav
"In nineteen thirty-three you and I knew that we must never let our economic system get completely out of joint again", https://xilaili.github.io/wavs/0000/audio_068.wav
"at fourteen he was a pickpocket and a 'duffer,' or a seller of sham goods.", https://xilaili.github.io/wavs/0000/audio_069.wav
"On November fourteen, Lawson and Sorrels attended a meeting at Love Field", https://xilaili.github.io/wavs/0000/audio_070.wav
"of the person who is actually in the exercise of the executive power, or", https://xilaili.github.io/wavs/0000/audio_071.wav
"Although all of the shots were a few inches high and to the right of the target,", https://xilaili.github.io/wavs/0000/audio_072.wav
"would not agree with that particular wording, end quote.", https://xilaili.github.io/wavs/0000/audio_073.wav
"When any given 'protist' has to be classified the case must be decided on its individual merits;", https://xilaili.github.io/wavs/0000/audio_074.wav
"nineteen dollars, ninety-five cents, plus one dollar, twenty-seven cents shipping charge, had been collected from the consignee, Hidell.", https://xilaili.github.io/wavs/0000/audio_075.wav
"with two hits, within four point eight and five point six seconds.", https://xilaili.github.io/wavs/0000/audio_076.wav
"(if man may speak so confidently of His great impenetrable counsels), for an eternal Testimony of His great work in the confusion of Man's pride,", https://xilaili.github.io/wavs/0000/audio_077.wav
"Mrs. Earlene Roberts, the housekeeper at Oswald's roominghouse and the last person known to have seen him before he reached tenth Street and Patton Avenue,", https://xilaili.github.io/wavs/0000/audio_078.wav
"They had to handcuff her by force against the most violent resistance, and still she raged and stormed,", https://xilaili.github.io/wavs/0000/audio_079.wav
"There was unrestrained association of untried and convicted, juvenile with adult prisoners, vagrants, misdemeanants, felons.", https://xilaili.github.io/wavs/0000/audio_080.wav
"or when the press of the crowd made it impossible for the escort motorcycles to stay in position on the car's rear flanks.", https://xilaili.github.io/wavs/0000/audio_081.wav
"Probert was then admitted as a witness, and the case was fully proved against Thurtell, who was hanged in front of Hertford Jail.", https://xilaili.github.io/wavs/0000/audio_082.wav
"and that, however diverse may be the fabrics or tissues of which their bodies are composed, all these varied structures result", https://xilaili.github.io/wavs/0000/audio_083.wav
"At the former the 'Provisional Government' was to be established,", https://xilaili.github.io/wavs/0000/audio_084.wav
"After her interview with Mrs. Oswald,", https://xilaili.github.io/wavs/0000/audio_085.wav
"Hardly any one.", https://xilaili.github.io/wavs/0000/audio_086.wav
"in view of all the information concerning Oswald in its files, should have alerted the Secret Service to Oswald's presence in Dallas", https://xilaili.github.io/wavs/0000/audio_087.wav
"He cried out, quote, Oh, no, no, no. My God, they are going to kill us all, end quote,", https://xilaili.github.io/wavs/0000/audio_088.wav
"which marked the growth of public interest in prison affairs, and which was the germ of the new system", https://xilaili.github.io/wavs/0000/audio_089.wav
"After a few years of active exertion the Society was rewarded by fresh legislation.", https://xilaili.github.io/wavs/0000/audio_090.wav
"we would handle it in due course, in accord with the whole context of the investigation. End quote.", https://xilaili.github.io/wavs/0000/audio_091.wav
"are all huddled together without discrimination, oversight, or control.'", https://xilaili.github.io/wavs/0000/audio_092.wav
"The turnkeys left the prisoners very much to themselves, never entering the wards after locking-up time, at dusk, till unlocking next morning,", https://xilaili.github.io/wavs/0000/audio_093.wav
"The Ishtar gateway leading to the palace was encased with beautiful blue glazed bricks,", https://xilaili.github.io/wavs/0000/audio_094.wav
"Its bricks, measuring about thirteen inches square and three inches in thickness, were burned and stamped with the usual short inscription:", https://xilaili.github.io/wavs/0000/audio_095.wav
"It was recommended that the dietaries should be submitted and approved like the rules; that convicted prisoners should not receive any food but the jail allowance;", https://xilaili.github.io/wavs/0000/audio_096.wav
"Oswald was arrested and jailed by the New Orleans Police Department for disturbing the peace, in connection with a street fight which broke out when he was accosted", https://xilaili.github.io/wavs/0000/audio_097.wav
"On December twenty-six, nineteen sixty-three, the FBI circulated additional instructions to all its agents,", https://xilaili.github.io/wavs/0000/audio_098.wav
"Visited Mr. Fauntleroy. My application for books for him not having been attended, I had no prayer-book to give him.", https://xilaili.github.io/wavs/0000/audio_099.wav
"On the night of the eleventh day Gobrias killed the son of the King.", https://xilaili.github.io/wavs/0000/audio_100.wav
"carbohydrates (starch, cellulose) and fats.", https://xilaili.github.io/wavs/0000/audio_101.wav
"The only exit from the office in the direction Oswald was moving was through the door to the front stairway.", https://xilaili.github.io/wavs/0000/audio_102.wav
"with thirteen dollars, eighty-seven cents when considerably greater resources were available to him.", https://xilaili.github.io/wavs/0000/audio_103.wav
"appeared in The Dallas Times Herald on November fifteen, nineteen sixty-three.", https://xilaili.github.io/wavs/0000/audio_104.wav
"Special Agent Lyndal L. Shaneyfelt, a photography expert with the FBI,", https://xilaili.github.io/wavs/0000/audio_105.wav
"Within a few weeks occurred the Leeds poisoning case, in which the murderer undoubtedly was inspired by the facts made public at Palmer's trial.", https://xilaili.github.io/wavs/0000/audio_106.wav
"This is a definite advantage to the shooter, the vehicle moving directly away from him and the downgrade of the street, and he being in an elevated position", https://xilaili.github.io/wavs/0000/audio_107.wav
"and paying great attention to the 'press work' or actual process of printing,", https://xilaili.github.io/wavs/0000/audio_108.wav
"was to be the rule for all convicted prisoners throughout the early stages of their detention;", https://xilaili.github.io/wavs/0000/audio_109.wav
"where probably the money still remains.", https://xilaili.github.io/wavs/0000/audio_110.wav
"At length the ordinary pauses, and then, in a deep tone, which, though hardly above a whisper, is audible to all, says,", https://xilaili.github.io/wavs/0000/audio_111.wav
"A formal and thorough description of the responsibilities of the advance agent is now in preparation by the Service.", https://xilaili.github.io/wavs/0000/audio_112.wav
"Yet the public opinion of the whole body seems to have checked dissipation.", https://xilaili.github.io/wavs/0000/audio_113.wav
"The three horses are, of course, the three branches of government -- the Congress, the Executive and the courts.", https://xilaili.github.io/wavs/0000/audio_114.wav
"there was no case to make out; why waste money on lawyers for the defense? His demeanor was cool and collected throughout;", https://xilaili.github.io/wavs/0000/audio_115.wav
"who had borne the Queen's commission, first as cornet, and then lieutenant, in the tenth Hussars.", https://xilaili.github.io/wavs/0000/audio_116.wav
"quote, that the crowd was about the same as the one which came to see him before but there were one hundred thousand extra people on hand who came to see Mrs. Kennedy.", https://xilaili.github.io/wavs/0000/audio_117.wav
"It is an easy document to understand when you remember that it was called into being", https://xilaili.github.io/wavs/0000/audio_118.wav
"Soon afterwards Dixon died, showing all the symptoms already described.", https://xilaili.github.io/wavs/0000/audio_119.wav
"This seems to have decided Courvoisier,", https://xilaili.github.io/wavs/0000/audio_120.wav
"Whether it was greed or a quarrel that drove Greenacre to the desperate deed remains obscure.", https://xilaili.github.io/wavs/0000/audio_121.wav
"of residence in the U.S.S.R. against any cause which I join, by association,", https://xilaili.github.io/wavs/0000/audio_122.wav
"Meanwhile, Chief Curry ordered the police base station to notify Parkland Hospital that the wounded President was en route.", https://xilaili.github.io/wavs/0000/audio_123.wav
"When security arrangements at the airport were complete, the Secret Service made the necessary arrangements for the Vice President to leave the hospital.", https://xilaili.github.io/wavs/0000/audio_124.wav
"Lee was brought up in this atmosphere of constant money problems, and I am sure it had quite an effect on him, and also Robert, end quote.", https://xilaili.github.io/wavs/0000/audio_125.wav
"and it is probable that amyloid substances are universally present in the animal organism, though not in the precise form of starch.", https://xilaili.github.io/wavs/0000/audio_126.wav
"that the Secret Service consciously set about the task of inculcating and maintaining the highest standard of excellence and esprit, for all of its personnel.", https://xilaili.github.io/wavs/0000/audio_127.wav
"High authorities were in favor of continuous separation.", https://xilaili.github.io/wavs/0000/audio_128.wav
"The Secret Service should not and does not plan to develop its own intelligence gathering facilities to duplicate the existing facilities of other Federal agencies.", https://xilaili.github.io/wavs/0000/audio_129.wav
"These disciplinary improvements were, however, only slowly and gradually introduced.", https://xilaili.github.io/wavs/0000/audio_130.wav
"Maltby and Co. would issue warrants on them deliverable to the importer, and the goods were then passed to be stored in neighboring warehouses.", https://xilaili.github.io/wavs/0000/audio_131.wav
"Communications in the motorcade.", https://xilaili.github.io/wavs/0000/audio_132.wav
"But Mrs. Solomons could not resist the temptation to dabble in stolen goods, and she was found shipping watches of the wrong category to New York.", https://xilaili.github.io/wavs/0000/audio_133.wav
"Hunt, in consideration of the information he had given, escaped death, and was sentenced to transportation for life.", https://xilaili.github.io/wavs/0000/audio_134.wav
"Roupell received the announcement with a cheerful countenance,", https://xilaili.github.io/wavs/0000/audio_135.wav
"The employees raced the elevators to the first floor. Givens saw Oswald standing at the gate on the fifth floor as the elevator went by.", https://xilaili.github.io/wavs/0000/audio_136.wav
"The essential point to be remembered is that the ornament, whatever it is, whether picture or pattern-work, should form part of the page,", https://xilaili.github.io/wavs/0000/audio_137.wav
"Weedon and Lecasser to twelve and six months respectively in Coldbath Fields.", https://xilaili.github.io/wavs/0000/audio_138.wav
"the latter raised eighteen pence among them to pay for a truss of straw for the poor woman to lie on.", https://xilaili.github.io/wavs/0000/audio_139.wav
"He presented Arnold Johnson, Gus Hall,", https://xilaili.github.io/wavs/0000/audio_140.wav
"In the plant as in the animal metabolism must consist of anabolic and catabolic processes.", https://xilaili.github.io/wavs/0000/audio_141.wav
"with the idea of subjecting her to the irritant poison slowly but surely until the desired effect, death, was achieved.", https://xilaili.github.io/wavs/0000/audio_142.wav
"even after sentence, and until within a few hours of execution, he was buoyed up with the hope of reprieve.", https://xilaili.github.io/wavs/0000/audio_143.wav
"that is reflected in definite and comprehensive operating procedures.", https://xilaili.github.io/wavs/0000/audio_144.wav
"a third miscreant made a similar but far less serious attempt in the month of July following.", https://xilaili.github.io/wavs/0000/audio_145.wav
"In eighteen ninety-four,", https://xilaili.github.io/wavs/0000/audio_146.wav
"Sir George Grey thought there was a growing feeling in favor of executions within the prison precincts.", https://xilaili.github.io/wavs/0000/audio_147.wav
"The prison allowances were eked out by the broken victuals generously given by several eating-house keepers in the city,", https://xilaili.github.io/wavs/0000/audio_148.wav
"As each transaction was carried out from a different address, and a different messenger always employed,", https://xilaili.github.io/wavs/0000/audio_149.wav
